Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths
" Norfolk County, MA",210.88349999999997,-355.72450000000003,7.0,0.0,0.0
Alabama,276979.87068909063,-730282.9764928354,2566233.0,0.0,68593.0
"Alameda County, CA",112.80510000000001,-365.1585,6.0,0.0,0.0
Alaska,134810.50361195148,-324678.8384274006,75956.0,0.0,1287.0
American Samoa,-128.43900000000002,-1531.1880000000003,0.0,0.0,0.0
Arizona,67010.25239145053,-221906.48320669812,4631763.0,8.0,114740.0
Arkansas,319005.5058168001,-844199.8234668231,1262582.0,0.0,17533.0
"Ashland, NE",38.21267844,-89.50299462,11.0,0.0,0.0
"Bennington County, VT",43.0279,-73.135,1.0,0.0,0.0
"Bergen County, NJ",204.6315,-370.385,16.0,0.0,0.0
"Berkeley, CA",151.486,-489.092,4.0,0.0,0.0
"Berkshire County, MA",84.6236,-146.3644,2.0,0.0,0.0
"Boston, MA",1440.2434000000007,-2416.0026,34.0,7.0,0.0
"Broward County, FL",78.5703,-241.09769999999997,7.0,0.0,0.0
California,264850.9818925201,-847455.3647852824,15818877.0,40.0,447575.0
"Carver County, MN",44.8254,-93.7842,1.0,0.0,0.0
"Charleston County, SC",98.38709999999999,-239.3544,3.0,0.0,0.0
"Charlotte County, FL",26.8946,-81.9098,1.0,0.0,0.0
"Chatham County, NC",142.8844,-316.7124,4.0,0.0,0.0
"Cherokee County, GA",34.2515,-84.4803,1.0,0.0,0.0
Chicago,38.21267844,-89.50299462,1.0,0.0,0.0
"Chicago, IL",1256.3429999999998,-2628.8940000000007,61.0,44.0,0.0
"Clark County, NV",180.398,-575.47,7.0,0.0,0.0
"Clark County, WA",137.2398,-367.5582,3.0,0.0,0.0
"Cobb County, GA",101.6997,-253.6923,5.0,0.0,0.0
"Collin County, TX",33.1795,-96.493,1.0,0.0,0.0
Colorado,289979.78090592974,-786037.7085289919,2679016.0,0.0,135145.0
Connecticut,46480.49568087991,-81167.24720914978,4043870.0,0.0,356838.0
"Contra Costa County, CA",227.1204,-731.4108,32.0,0.0,0.0
"Cook County, IL",333.9016,-701.5807999999998,42.0,16.0,0.0
"Davidson County, TN",72.2686,-173.644,2.0,0.0,0.0
"Davis County, UT",122.8887,-336.28589999999997,3.0,0.0,0.0
Delaware,19437.243690920008,-37543.72952769991,905564.0,0.0,35223.0
"Delaware County, PA",159.6312,-301.5516,4.0,0.0,0.0
"Denver County, CO",158.9568,-419.9612,8.0,0.0,0.0
Diamond Princess,425.3243999999999,1675.6559999999997,6638.0,0.0,0.0
District of Columbia,5329.791054249989,-10551.391607000023,831234.0,0.0,42493.0
"Douglas County, CO",117.77609999999999,-314.8167,9.0,0.0,0.0
"Douglas County, NE",165.2592,-384.7804,6.0,0.0,0.0
"Douglas County, OR",86.2522,-246.4984,2.0,0.0,0.0
"El Paso County, CO",116.73240000000001,-313.4169,3.0,0.0,0.0
"Fairfax County, VA",77.817,-154.481,4.0,0.0,0.0
"Fairfield County, CT",123.768,-220.11270000000002,4.0,0.0,0.0
"Fayette County, KY",152.2424,-337.9212,4.0,0.0,0.0
Florida,242397.18610321244,-692597.1621014238,10984328.0,0.0,269217.0
"Floyd County, GA",68.5658,-170.4616,3.0,0.0,0.0
"Fort Bend County, TX",147.8465,-479.0715,17.0,0.0,0.0
"Fresno County, CA",73.9718,-238.4642,2.0,0.0,0.0
"Fulton County, GA",236.62380000000005,-590.7741,19.0,0.0,0.0
Georgia,648974.7035563798,-1653348.739191123,6194208.0,0.0,212299.0
"Grafton County, NH",351.27039999999994,-574.6080000000002,19.0,0.0,0.0
Grand Princess,451.7868400000001,-1471.985979,12580.0,0.0,329.0
Grand Princess Cruise Ship,112.94669999999999,-367.99649999999997,63.0,0.0,0.0
"Grant County, WA",235.9905,-596.866,5.0,0.0,1.0
Guam,1761.203300000006,18967.974699999988,22280.0,0.0,569.0
"Harford County, MD",79.1678,-152.7274,2.0,0.0,0.0
"Harris County, TX",148.876,-476.5515,21.0,0.0,0.0
"Harrison County, KY",38.4333,-84.3542,2.0,0.0,0.0
Hawaii,15559.131089470078,-116381.88904819971,86343.0,0.0,1792.0
"Hendricks County, IN",79.613,-173.0802,3.0,0.0,0.0
"Hillsborough, FL",223.92319999999998,-658.4144,15.0,0.0,0.0
"Honolulu County, HI",63.92099999999999,-473.5752,4.0,0.0,0.0
"Hudson County, NJ",81.4906,-148.107,2.0,0.0,0.0
"Humboldt County, CA",733.41,-2229.651,18.0,0.0,0.0
Idaho,208929.7374296017,-541380.9493745016,493776.0,0.0,8404.0
Illinois,487267.88536771707,-1089604.8010637774,11209603.0,16.0,515372.0
Indiana,457089.58452873444,-989147.6289319483,3545215.0,0.0,203349.0
Iowa,491884.84596332855,-1093020.662488086,2062825.0,0.0,49708.0
"Jackson County, OR ",127.0035,-368.2941,5.0,0.0,0.0
"Jefferson County, KY",38.1938,-85.6435,1.0,0.0,0.0
"Jefferson County, WA",143.2275,-369.91200000000003,3.0,0.0,0.0
