Country,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
China,Anhui,31.8257,117.2264,1.0,,,1/22/2020
China,Beijing,40.1824,116.4142,14.0,,,1/22/2020
China,Chongqing,30.0572,107.874,6.0,,,1/22/2020
China,Fujian,26.0789,117.9874,1.0,,,1/22/2020
China,Gansu,36.0611,103.8343,,,,1/22/2020
China,Guangdong,23.3417,113.4244,26.0,,,1/22/2020
China,Guangxi,23.8298,108.7881,2.0,,,1/22/2020
China,Guizhou,26.8154,106.8748,1.0,,,1/22/2020
China,Hainan,19.1959,109.7453,4.0,,,1/22/2020
China,Hebei,38.0428,114.9042,1.0,,,1/22/2020
China,Heilongjiang,47.861999999999995,127.7615,,,,1/22/2020
China,Henan,33.882,113.61399999999999,5.0,,,1/22/2020
China,Hubei,30.9756,112.2707,444.0,28.0,17.0,1/22/2020
China,Hunan,27.6104,111.7088,4.0,,,1/22/2020
China,Inner Mongolia,44.0935,113.9448,,,,1/22/2020
China,Jiangsu,32.9711,119.455,1.0,,,1/22/2020
China,Jiangxi,27.614,115.7221,2.0,,,1/22/2020
China,Jilin,43.6661,126.1923,,,,1/22/2020
China,Liaoning,41.2956,122.6085,2.0,,,1/22/2020
China,Ningxia,37.2692,106.1655,1.0,,,1/22/2020
China,Qinghai,35.7452,95.9956,,,,1/22/2020
China,Shaanxi,35.1917,108.8701,,,,1/22/2020
China,Shandong,36.3427,118.1498,2.0,,,1/22/2020
China,Shanghai,31.201999999999998,121.4491,9.0,,,1/22/2020
China,Shanxi,37.5777,112.2922,1.0,,,1/22/2020
China,Sichuan,30.6171,102.7103,5.0,,,1/22/2020
China,Tianjin,39.3054,117.323,4.0,,,1/22/2020
China,Tibet,31.6927,88.0924,,,,1/22/2020
China,Xinjiang,41.1129,85.2401,,,,1/22/2020
China,Yunnan,24.974,101.48700000000001,1.0,,,1/22/2020
China,Zhejiang,29.1832,120.0934,10.0,,,1/22/2020
China,Anhui,31.8257,117.2264,9.0,,,1/23/2020
China,Beijing,40.1824,116.4142,22.0,,,1/23/2020
