Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths
Alabama,66058.53817013036,-174124.52951472014,123907.0,0.0,4001.0
Alaska,22574.594768779996,-54126.44259049989,8270.0,0.0,230.0
Arizona,16121.118416929983,-53385.106140099866,130419.0,0.0,4794.0
Arkansas,72943.05113763045,-193036.49097387883,52677.0,0.0,997.0
California,60622.09052365006,-194441.3166379001,855679.0,0.0,29784.0
Colorado,66332.14262791003,-179693.97320110034,259773.0,0.0,11466.0
Connecticut,11193.619433599975,-19546.839251290003,466219.0,0.0,29746.0
Delaware,4653.34243622,-8989.48799615999,67466.0,0.0,1843.0
Diamond Princess,0.0,0.0,1470.0,0.0,0.0
District of Columbia,1167.1253319,-2310.4967975999994,70954.0,0.0,2647.0
Florida,57646.70863661013,-164771.29152397957,668452.0,0.0,19379.0
Georgia,153638.54339277948,-391460.1732493316,465883.0,0.0,17902.0
Grand Princess,0.0,0.0,3090.0,0.0,57.0
Guam,403.329,4343.8110000000015,3809.0,0.0,138.0
Hawaii,3679.064196400004,-27522.444452000032,14957.0,0.0,268.0
Idaho,45208.82203310001,-117366.85435730017,44534.0,0.0,1047.0
Illinois,103596.28612236997,-231032.63928545982,799714.0,0.0,32284.0
Indiana,109226.5414532604,-236297.4229522617,289747.0,0.0,14251.0
Iowa,101711.9954373801,-225584.42900975974,83617.0,0.0,1949.0
Kansas,75903.94851170044,-192391.45662407004,56193.0,0.0,2224.0
Kentucky,111719.49912578012,-253049.6214163891,73553.0,0.0,3809.0
Louisiana,59863.861950930244,-176850.76943584,625159.0,0.0,32812.0
Maine,21687.13965464001,-33806.67760387996,22293.0,0.0,838.0
Maryland,28832.39732081991,-56659.76972943987,326346.0,0.0,13152.0
Massachusetts,17676.30658339999,-29980.003292819907,976134.0,0.0,42284.0
Michigan,105417.60018579998,-204297.9447335903,817531.0,0.0,59169.0
Minnesota,96649.6728272097,-201378.15887805965,65127.0,0.0,3811.0
Mississippi,79878.83086693051,-218251.6717578281,109721.0,0.0,3973.0
Missouri,105347.7322285003,-253617.53404572056,146506.0,0.0,5051.0
Montana,39951.77116694005,-94833.80169259959,11461.0,0.0,280.0
Nebraska,59150.5242758199,-140989.16208843,43375.0,0.0,822.0
Nevada,14850.935465449968,-44422.5465888999,97567.0,0.0,3933.0
New Hampshire,14124.17187919,-23263.01108903,35884.0,0.0,971.0
New Jersey,26553.110438809985,-49177.23938036983,2186712.0,0.0,103253.0
New Mexico,28145.397156769974,-86543.5532494999,48959.0,0.0,1420.0
New York,75444.27915756968,-133608.46327942028,6271525.0,0.0,401257.0
North Carolina,99577.8019958802,-222070.6209473096,172784.0,0.0,5108.0
North Dakota,45848.07285781013,-97234.05085047006,14774.0,0.0,287.0
Northern Mariana Islands,452.9369999999998,4370.216999999997,350.0,0.0,54.0
Ohio,103053.77668971011,-211687.87420658872,287175.0,0.0,12537.0
Oklahoma,70069.39230259001,-191517.69073659144,67773.0,0.0,3691.0
Oregon,40876.99166921001,-111672.5197535005,50088.0,0.0,1808.0
Pennsylvania,82079.04192175015,-156066.0168785793,821303.0,0.0,29754.0
Puerto Rico,546.624,-1997.7029999999986,28819.0,0.0,1530.0
Recovered,0.0,0.0,0.0,1747977.0,0.0
Rhode Island,7456.732153630011,-12795.331827540012,118406.0,0.0,3418.0
South Carolina,47031.72780917978,-112160.22588949006,112934.0,0.0,3255.0
South Dakota,55121.47994750009,-123278.7710680302,36228.0,0.0,212.0
Tennessee,101932.16410127921,-244631.62249977104,190945.0,0.0,3679.0
Texas,174397.48101522084,-542517.2060668452,488289.0,0.0,11908.0
Utah,20431.93684118998,-57215.12460599984,81993.0,0.0,707.0
Vermont,19204.31336760998,-31622.38302096001,21165.0,0.0,977.0
Virgin Islands,550.074,-1946.8889999999983,1485.0,0.0,58.0
Virginia,146555.08732360956,-306147.92700916977,223912.0,0.0,7065.0
Washington,54815.33078483993,-140088.14735149965,325573.0,0.0,16697.0
West Virginia,51881.26855818003,-107554.6050871496,21077.0,0.0,489.0
Wisconsin,85313.31216570978,-172832.41785544035,118808.0,0.0,5362.0
Wyoming,27746.957636969924,-69201.2436080997,9826.0,0.0,77.0
