Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths
" Norfolk County, MA",210.88349999999997,-355.72450000000003,7.0,0.0,0.0
Alabama,22070.272804950004,-58187.71079596002,5914.0,0.0,53.0
"Alameda County, CA",112.80510000000001,-365.1585,6.0,0.0,0.0
Alaska,16887.65557404,-40900.60884939998,707.0,0.0,13.0
American Samoa,-128.43900000000002,-1531.1880000000003,0.0,0.0,0.0
Arizona,5456.143105299996,-18056.659240000015,6789.0,8.0,113.0
Arkansas,25763.333529639956,-68214.22454843004,3801.0,0.0,35.0
"Bennington County, VT",43.0279,-73.135,1.0,0.0,0.0
"Bergen County, NJ",204.6315,-370.385,16.0,0.0,0.0
"Berkeley, CA",151.486,-489.092,4.0,0.0,0.0
"Berkshire County, MA",84.6236,-146.3644,2.0,0.0,0.0
"Boston, MA",211.8005,-355.29449999999997,5.0,5.0,0.0
"Broward County, FL",78.5703,-241.09769999999997,7.0,0.0,0.0
California,21983.253710469988,-70244.35374009995,51230.0,40.0,1033.0
"Carver County, MN",44.8254,-93.7842,1.0,0.0,0.0
"Charleston County, SC",98.38709999999999,-239.3544,3.0,0.0,0.0
"Charlotte County, FL",26.8946,-81.9098,1.0,0.0,0.0
"Chatham County, NC",142.8844,-316.7124,4.0,0.0,0.0
"Cherokee County, GA",34.2515,-84.4803,1.0,0.0,0.0
"Chicago, IL",41.8781,-87.6298,3.0,2.0,0.0
"Clark County, NV",180.398,-575.47,7.0,0.0,0.0
"Clark County, WA",137.2398,-367.5582,3.0,0.0,0.0
"Cobb County, GA",101.6997,-253.6923,5.0,0.0,0.0
"Collin County, TX",33.1795,-96.493,1.0,0.0,0.0
Colorado,24846.585671429995,-67302.12096580013,17135.0,0.0,296.0
Connecticut,3828.267993199998,-6685.611145300003,14534.0,0.0,278.0
"Contra Costa County, CA",227.1204,-731.4108,32.0,0.0,0.0
"Cook County, IL",333.9016,-701.5807999999998,42.0,16.0,0.0
"Davidson County, TN",72.2686,-173.644,2.0,0.0,0.0
"Davis County, UT",122.8887,-336.28589999999997,3.0,0.0,0.0
Delaware,1645.1003276999995,-3172.0823647000016,1844.0,0.0,30.0
"Delaware County, PA",159.6312,-301.5516,4.0,0.0,0.0
"Denver County, CO",158.9568,-419.9612,8.0,0.0,0.0
Diamond Princess,425.3243999999999,1675.6559999999997,1052.0,0.0,0.0
District of Columbia,894.7147930300001,-1771.5037761199994,3041.0,0.0,43.0
"Douglas County, CO",117.77609999999999,-314.8167,9.0,0.0,0.0
"Douglas County, NE",165.2592,-384.7804,6.0,0.0,0.0
"Douglas County, OR",86.2522,-246.4984,2.0,0.0,0.0
"El Paso County, CO",116.73240000000001,-313.4169,3.0,0.0,0.0
"Fairfax County, VA",77.817,-154.481,4.0,0.0,0.0
"Fairfield County, CT",123.768,-220.11270000000002,4.0,0.0,0.0
"Fayette County, KY",152.2424,-337.9212,4.0,0.0,0.0
Florida,19397.324803159983,-55471.345779189964,33448.0,0.0,459.0
"Floyd County, GA",68.5658,-170.4616,3.0,0.0,0.0
"Fort Bend County, TX",147.8465,-479.0715,17.0,0.0,0.0
"Fresno County, CA",73.9718,-238.4642,2.0,0.0,0.0
"Fulton County, GA",236.62380000000005,-590.7741,19.0,0.0,0.0
Georgia,51909.94793901011,-132230.19290367982,20903.0,0.0,627.0
"Grafton County, NH",351.27039999999994,-574.6080000000002,19.0,0.0,0.0
Grand Princess,451.7868400000001,-1471.985979,838.0,0.0,20.0
Grand Princess Cruise Ship,112.94669999999999,-367.99649999999997,63.0,0.0,0.0
"Grant County, WA",235.9905,-596.866,5.0,0.0,1.0
