Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths
Alabama,69319.15661096032,-182783.45627066016,371875.0,0.0,14438.0
Alaska,29181.681699749992,-70257.07527419989,12191.0,0.0,305.0
Arizona,16693.094312299978,-55282.09633619985,417640.0,0.0,19861.0
Arkansas,80709.44149211056,-213493.10649466858,150164.0,0.0,3136.0
California,65879.15074704007,-210909.5662181001,2464043.0,0.0,98236.0
Colorado,73239.0960341001,-198622.75412750026,662209.0,0.0,35607.0
Connecticut,11609.724474719975,-20273.55596654,1124193.0,0.0,101016.0
Delaware,4848.843199250001,-9367.225406809988,229083.0,0.0,8376.0
Diamond Princess,0.0,0.0,1519.0,0.0,0.0
District of Columbia,1206.02950963,-2387.5133575199993,215106.0,0.0,11296.0
Florida,61023.187292460134,-174321.3127231593,1396266.0,0.0,59695.0
Georgia,163477.23672454958,-416480.39538895205,1157327.0,0.0,49713.0
Grand Princess,0.0,0.0,3193.0,0.0,93.0
Guam,416.7733,4488.604700000002,4858.0,0.0,155.0
Hawaii,3910.686886280005,-29250.81078960004,19741.0,0.0,525.0
Idaho,49654.99408038,-128709.81613570018,74576.0,0.0,2258.0
Illinois,125132.23279880003,-280013.12825905014,2817238.0,0.0,124526.0
Indiana,114850.64564049045,-248565.64337767177,838266.0,0.0,52288.0
Iowa,127111.64823450007,-282465.6766888793,439993.0,0.0,10727.0
Kansas,104866.7702740214,-266758.3337820906,238563.0,0.0,5819.0
Kentucky,134926.3824355402,-305856.68689798826,230298.0,0.0,10568.0
Louisiana,62642.86112918028,-185025.11702603012,1058228.0,0.0,75789.0
Maine,23544.154195000017,-36646.578188189946,52159.0,0.0,2180.0
Maryland,30199.0179936699,-59344.73668490986,1183128.0,0.0,59126.0
Massachusetts,18309.255685959983,-31052.9155501299,2582585.0,0.0,170827.0
Michigan,114411.69936635996,-221543.1171410405,1560752.0,0.0,149007.0
Minnesota,118885.45961602958,-247013.42225584973,469276.0,0.0,21874.0
Mississippi,83360.77222412046,-227834.9179342478,344106.0,0.0,15802.0
Missouri,122148.89911909013,-293813.27663939993,338456.0,0.0,17858.0
Montana,46462.14228540012,-110101.77144459938,14580.0,0.0,502.0
Nebraska,94055.41318523984,-224812.8334289594,304274.0,0.0,3659.0
Nevada,20739.283596059966,-61971.071819899735,212955.0,0.0,10599.0
New Hampshire,14822.670765969999,-24407.554478550002,108945.0,0.0,5044.0
New Jersey,27479.99829551998,-50893.62779403981,4472746.0,0.0,309074.0
New Mexico,35200.844166659954,-108041.13422689983,177805.0,0.0,7732.0
New York,78047.26951894967,-138219.3202283002,10693291.0,0.0,855865.0
North Carolina,110819.41140459017,-247271.08368471963,577688.0,0.0,20591.0
North Dakota,60087.875461480326,-126892.86830780025,57772.0,0.0,1315.0
Northern Mariana Islands,468.03489999999977,4515.890899999997,589.0,0.0,62.0
Ohio,111219.4776288001,-228548.13472995852,847463.0,0.0,49714.0
Oklahoma,81894.40693013975,-224059.16712964213,160426.0,0.0,8875.0
Oregon,46910.29700385002,-128197.55797570075,108477.0,0.0,4161.0
Pennsylvania,86044.46508445016,-163606.4074408792,1990031.0,0.0,133369.0
Puerto Rico,564.8448000000001,-2064.2930999999985,81742.0,0.0,3633.0
Recovered,0.0,0.0,0.0,8720047.0,0.0
Rhode Island,7748.349990900013,-13295.805184950012,381262.0,0.0,15471.0
South Carolina,49477.91055045977,-117994.09908449008,269996.0,0.0,11736.0
South Dakota,73588.57405363045,-164489.1573784304,118918.0,0.0,1279.0
Tennessee,107580.2379554292,-258160.04867398125,538199.0,0.0,8915.0
Texas,219305.65138075003,-680834.361443646,1445655.0,0.0,39459.0
Utah,17415.330367469996,-48489.16161579992,221285.0,0.0,2469.0
Vermont,20537.69758128996,-33799.05292628002,29030.0,0.0,1654.0
Virgin Islands,568.4097999999999,-2011.7852999999982,2116.0,0.0,165.0
Virginia,156043.88445509947,-326135.4042515397,925423.0,0.0,30696.0
Washington,58566.98893032994,-149694.06963599985,561785.0,0.0,30535.0
West Virginia,64043.04284454004,-133012.01570612934,47180.0,0.0,1929.0
Wisconsin,97832.8062005397,-197970.63447334,383868.0,0.0,13919.0
Wyoming,30915.416494319903,-76994.98040699982,22805.0,0.0,300.0
